Publication.Title,CountryOfOrigin,Qid_CoO,Inception,Qid,Count
言語メディア教育研究センター年報 = The language and Media Learning Research Center Annual Report,Japan,Q17,2017,,1
英文学思潮,NA,NA,1948-01-01T00:00:00Z,NA,NA
愛知県立大学外国語学部紀要第,Japan,Q17,1974-01-01T00:00:00Z,,1
人間文化 : 愛知学院大学人間文化研究所紀要,Japan,Q17,1985,Q113477040,1
Éducation et sociétés,Belgium,Q31,1998-01-01T00:00:00Z,Q3580132,1
¿ Interrogations ? Revue pluridisciplinaire de sciences humaines et sociales,NA,NA,2005-01-01T00:00:00Z,NA,NA
magazén,NA,NA,2020,NA,NA
gamevironments,,,2014,,1
e-Proceeding of Art & Design,,,,,1
Zeitschrift für Psychodrama und Soziometrie,Germany,Q183,2002-01-01T00:00:00Z,Q96734292,1
Young,Sweden,Q34,1993-10-01T00:00:00Z,Q15816988,1
Women's Studies Quarterly,United States of America,Q30,1972-01-01T00:00:00Z,Q7955880,1
Women and Language,United States of America,Q30,1977-01-01T00:00:00Z,Q15761964,1
Western Folklore,United States of America,Q30,1942-01-01T00:00:00Z,Q7987841,1
Well Played,NA,NA,2011,NA,NA
WSQ: Women's Studies Quarterly,NA,NA,1972-01-01T00:00:00Z,NA,NA
Urdimento - Revista de Estudos em Artes Cênicas,Brazil,Q155,2021-01-01T00:00:00Z,Q96731991,1
Urdimento,Brazil,Q155,2021-01-01T00:00:00Z,Q96731991,1
University of Denver Sports and Entertainment Law Journal,United States of America,Q30,2005-01-01T00:00:00Z,,1
Tsukuba Psychological Research,Japan,,1954-01-01T00:00:00Z,,1
"Tríade: Revista de Comunicação, Cultura e Midia",Brazil,Q155,2013-01-01T00:00:00Z,NA,NA
Transformative Works and Cultures,United States of America,Q30,2008-01-01T00:00:00Z,Q28130085,3
Transactions of the Digital Games Research Association,NA,NA,2013-01-01T00:00:00Z,NA,NA
Tracés. Revue de Sciences humaines,France,Q142,2002-01-01T00:00:00Z,Q73896686,1
Topics in Language Disorders,NA,NA,1980-01-01T00:00:00Z,NA,NA
Thinking Skills and Creativity,,,2006-01-01T00:00:00Z,Q15817668,4
"Theory, Research, and Action in Urban Education",NA,NA,2015-01-01T00:00:00Z,NA,NA
Theory and Society,Kingdom of the Netherlands,Q29999,1974-01-01T00:00:00Z,Q15716625,1
Theory and Practice of Science and Technology Science and Technology,China,,,,1
Theology in Scotland,United Kingdom,Q145,1994-01-01T00:00:00Z,Q96737968,1
The popular culture studies journal,United States of America,Q30,2013-01-01T00:00:00Z,Q123529206,3
The Student Theorist: An Open Handbook of Collective College Theory,NA,NA,NA,NA,NA
The Skeptical Inquirer,United States of America,Q30,1976-01-01T00:00:00Z,NA,NA
The Sanyo Revew,Japan,,1994-01-01T00:00:00Z,,1
The Reference Librarian,United States of America,Q30,1982-01-01T00:00:00Z,Q15745301,1
The Psychiatric Quarterly,United States of America,Q30,1915-01-01T00:00:00Z,Q27712851,1
The New Americanist,NA,NA,2022-01-01T00:00:00Z,NA,NA
The Muslim world,,,1911,Q27716083,1
The Motley Undergraduate Journal,,,2023,,1
The Journal of Popular Culture,United States of America,Q30,1967-01-01T00:00:00Z,Q15707472,3
The Journal of Men’s Studies,NA,NA,1992-01-01T00:00:00Z,NA,NA
The Journal of Campus Activities Practice and Scholarship,,,2019-01-01T00:00:00Z,,1
The Journal of Aesthetics and Art Criticism,United States of America,Q30,1941-01-01T00:00:00Z,Q7743548,1
The John Marshall Journal of Computer & Information Law,United States of America,Q30,1993-10-01T00:00:00Z,Q108768005,1
The Computer Games Journal,United Kingdom,Q145,2012-01-01T00:00:00Z,Q96735323,1
The College Mathematics Journal,NA,NA,1970-01-01T00:00:00Z,NA,NA
The Cardozo Journal of Equal Rights and Social Justice,United States of America,Q30,1993-10-01T00:00:00Z,Q15766197,1
The Canadian Journal of Sociology / Cahiers canadiens de sociologie,NA,NA,1975-01-01T00:00:00Z,NA,NA
The Bedan Journal of Psychology,,,2015-01-01T00:00:00Z,,1
The Arts in Psychotherapy,NA,NA,NA,NA,NA
The American Biology Teacher,United States of America,Q30,1938-01-01T00:00:00Z,Q1889034,1
Terrain. Anthropologie & sciences humaines,NA,NA,NA,NA,NA
Teoría de la Educación. Educación y Cultura en la Sociedad de la Información,Spain,Q29,1999-01-01T00:00:00Z,Q50814328,1
Technium Social Sciences Journal,Romania,Q218,2019-01-01T00:00:00Z,Q123529330,2
Teaching and Teacher Education,United Kingdom,Q145,1985,Q15766608,1
Teaching Philosophy,United States of America,Q30,1975-01-01T00:00:00Z,Q7691284,1
Teaching Media Quarterly,,,2013-01-01T00:00:00Z,,1
Teachers College Record,United States of America,Q30,1900-01-01T00:00:00Z,Q15757783,1
TRANS-. Revue de littérature générale et comparée,France,Q142,2005-01-01T00:00:00Z,,1
Symmetry,Switzerland,Q39,2009,Q27724274,1
Symbolic Interaction,United States of America,Q30,1978-01-01T00:00:00Z,Q7661165,1
Sustainability,Switzerland,Q39,2009-03-01T00:00:00Z,Q15813953,2
"Studies in Cultures, Organizations and Societies",Luxembourg,Q32,1995-01-01T00:00:00Z,Q107064582,1
Strenæ. Recherches sur les livres et objets culturels de l’enfance,France,Q142,2010-01-01T00:00:00Z,Q50815574,1
Strategic Management Journal,United Kingdom,Q145,2011,Q2353726,1
Sociétés contemporaines,France,Q142,1990-01-01T00:00:00Z,Q29043759,2
Sociétés,France,Q142,2001-01-01T00:00:00Z,Q96333722,1
Sociology of power,Russia,Q159,1988-01-01T00:00:00Z,Q96731730,1
Sociology of Sport Journal,United States of America,Q30,1984-01-01T00:00:00Z,Q15761802,1
Sociology of Race and Ethnicity,United States of America,Q30,2015-01-01T00:00:00Z,Q27726520,1
Sociology of Power,NA,NA,1988-01-01T00:00:00Z,NA,NA
Society and Leisure,Canada,Q16,1978-01-01T00:00:00Z,Q15767604,1
Societies,Switzerland,Q39,2011,Q27725606,1
Social Work with Groups,United States of America,Q30,1978-01-01T00:00:00Z,Q15760905,3
Social Sciences & Humanities Open,United Kingdom,Q145,2019-01-01T00:00:00Z,Q96731548,1
Social Compass,Belgium,Q31,1953-01-01T00:00:00Z,Q7550479,1
Sixteenth Century Journal,United States of America,Q30,1969-01-01T00:00:00Z,Q15716311,1
Simulation & Gaming,United States of America,Q30,1970-01-01T00:00:00Z,Q7521310,8
Sciences du jeu,France,Q142,2013-01-01T00:00:00Z,Q96728420,6
Science Fiction Film and Television,United Kingdom,Q145,2008-01-01T00:00:00Z,Q15764660,1
"Scenario: A Journal of Performative Teaching, Learning, Research",,,2007-01-01T00:00:00Z,,1
Santa Clara Computer & High Technology Law Journal,United States of America,Q30,1984-01-01T00:00:00Z,Q15759508,1
SSM - Qualitative Research in Health,,,2021-01-01T00:00:00Z,,1
SFRA Review,NA,NA,1970-01-01T00:00:00Z,NA,NA
Romanica Silesiana,Poland,Q36,2006,Q96726143,1
Roczniki Biblioteczne. Czasopismo poświęcone kulturze książki i komunikacji piśmiennej,,,1959-01-01T00:00:00Z,,1
Revue ¿ Interrogations ?,France,Q142,2005-01-01T00:00:00Z,Q61747779,2
Revue française d’études américaines,France,Q142,1976-01-01T00:00:00Z,Q27716591,1
Revue française des sciences de l’information et de la communication,France,Q142,2012-01-01T00:00:00Z,Q40559724,1
Revue des sciences sociales,NA,NA,1972-01-01T00:00:00Z,Q104065492,1
Revue de la Bibliothèque nationale de France,France,Q142,1999-01-01T00:00:00Z,Q15708771,1
Revue d'économie industrielle,France,Q142,1977-01-01T00:00:00Z,Q3428657,1
Revista de la Facultad de Jurisprudencia (RFJ),NA,NA,2017,Q96721693,1
Revista de Estudos Universitários - REU,Brazil,Q155,1968-01-01T00:00:00Z,Q96721291,1
Revista de Comunicación de la SEECI,Spain,Q29,1997-01-01T00:00:00Z,Q50518129,1
Revista Paideia Puertorriqueña,,,2006,,1
Revista Interdisciplinar de Tecnologias e Educação,,,2014,,1
Revista Interacções,NA,NA,2004-01-01T00:00:00Z,NA,NA
Revista FOCO,Brazil,Q155,2007-01-01T00:00:00Z,Q50814963,1
Religious Studies,England,Q21,1965-01-01T00:00:00Z,Q7311311,1
Religiologiques,Canada,Q16,1990-01-01T00:00:00Z,Q3424350,1
Reconstruction: Studies in Contemporary Culture,United States of America,Q30,2001-01-01T00:00:00Z,Q15753110,3
Recherches en Communication,Belgium,Q31,1994-01-01T00:00:00Z,Q96716794,1
Reading Research Quarterly,United States of America,Q30,1966-01-01T00:00:00Z,Q7300555,1
ReS Futurae : Revue d’études sur la science-fiction,France,Q142,2012-01-01T00:00:00Z,Q50816420,1
ReS Futurae : Revue d’études sur la science-fiction,NA,NA,2012-01-01T00:00:00Z,NA,NA
RPG学研究: Japanese Journal of Analog Role-Playing Game Studies,Japan,Q17,2019-01-01T00:00:00Z,Q113479723,15
RECAP: Publications,,,2000,,1
Qualitative Sociology,Netherlands,Q55,1997-01-01T00:00:00Z,Q7268695,1
Qualitative Research,NA,NA,2001-01-01T00:00:00Z,NA,NA
Qualitative Report,United States of America,Q30,1990-01-01T00:00:00Z,Q15765000,1
Publije,,,2011,,1
Psychotropes,France,Q142,2001-01-01T00:00:00Z,Q2397112,1
Psychothérapies,Switzerland,Q39,1980-01-01T00:00:00Z,Q60535870,1
Psychology in the Schools,United States of America,Q30,1964-01-01T00:00:00Z,Q15716395,1
Psychology Research and Behavior Management,NA,NA,2008-01-01T00:00:00Z,NA,NA
Psychological Reports,United States of America,Q30,1955-01-01T00:00:00Z,Q7256366,6
Psychiatric Quarterly,United States of America,Q30,1927-01-01T00:00:00Z,Q7256226,1
Psychiatria Danubina,Croatia,Q224,1988-01-01T00:00:00Z,Q26853899,1
Psicologia: Teoria e Pesquisa,Brazil,Q155,1984-01-01T00:00:00Z,Q50432831,1
Psicologia: Ciência e Profissão,,,1980-01-01T00:00:00Z,Q73903817,1
Prometeica - Revista de Filosofía y Ciencias,NA,NA,2010-01-01T00:00:00Z,NA,NA
Program Systems: Theory and Applications,NA,NA,NA,NA,NA
Press Start,United Kingdom,Q145,2014-01-01T00:00:00Z,Q50815284,1
Popular Culture Studies Journal,NA,NA,2013-01-01T00:00:00Z,NA,NA
Political Theology,England,Q21,1999-01-01T00:00:00Z,Q15755002,1
Poetics Today,Israel,Q801,1979-01-01T00:00:00Z,Q15817367,1
Play/Write Student Journal,,,2020,,2
Play & Culture,United States of America,Q30,1988-01-01T00:00:00Z,Q106824941,1
Philosophy of Management,United Kingdom,Q145,2001-01-01T00:00:00Z,Q7186247,1
Philosophical Transactions of the Royal Society B: Biological Sciences,NA,NA,1887,NA,NA
PhD&D Journal,United States of America,Q30,2019-01-01T00:00:00Z,,3
Persuasions,NA,NA,1979-01-01T00:00:00Z,NA,NA
Perspectives on Psychological Science,United States of America,Q30,2006-01-01T00:00:00Z,Q7170765,1
Performance Research,England,Q21,1995-01-01T00:00:00Z,Q7168217,1
Penn State Law Review,United States of America,Q30,1897-01-01T00:00:00Z,Q7163260,1
Peer Community in Registered Reports,,,,,1
PLoS One,United States of America,Q30,2006-01-01T00:00:00Z,Q564954,1
PAIDIA,NA,NA,NA,NA,NA
Otrante,NA,NA,1991,NA,NA
Occupational Therapy In Health Care,NA,NA,1984-01-01T00:00:00Z,NA,NA
Novas Tecnologias na Educação,,,,,1
Northwestern University Law Review,United States of America,Q30,1906,Q15707475,1
Northwestern Journal of Law and Social Policy,United States of America,Q30,2004-01-01T00:00:00Z,Q15757900,1
New directions for student leadership,United States of America,Q30,1979-01-01T00:00:00Z,Q27726876,1
New Media & Society,NA,NA,1999-01-01T00:00:00Z,NA,NA
New Directions in Folklore,,,1997,,1
New Directions for Student Leadership,NA,NA,1979-01-01T00:00:00Z,NA,NA
Neuropsychiatrie de l'Enfance et de l'Adolescence,NA,NA,1952,NA,NA
"Mythlore: A Journal of J.R.R. Tolkien, C.S. Lewis, Charles Williams, and Mythopoeic Literature",United States of America,Q30,1969-01-01T00:00:00Z,Q92550,1
Muslim World,NA,NA,1911,NA,NA
"Mind, Culture, and Activity",,,1994-01-01T00:00:00Z,Q15758323,1
Michigan Journal of International Law,,,1979-01-01T00:00:00Z,,1
Metamorfose,Portugal,Q45,2000,Q96729756,1
Media Practice and Education,NA,NA,2000,NA,NA
Matraga - Revista do Programa de Pós-Graduação em Letras da UERJ,Brazil,Q155,1986,Q50516612,1
Mathematics for Applications,Czech Republic,Q213,2012-01-01T00:00:00Z,Q96320437,1
Master of Teaching Research Journal,,,2018-01-01T00:00:00Z,,1
MOARA–Revista Eletrônica do Programa de Pós-Graduação em Letras,Brazil,Q155,1993-10-01T00:00:00Z,Q96730570,1
Ludic Language Pedagogy,,,2019-01-01T00:00:00Z,,1
Loyola of Los Angeles Entertainment Law Journal,,,1980-01-01T00:00:00Z,,1
Loisir et Société / Society and Leisure,NA,NA,1978-01-01T00:00:00Z,NA,NA
Loading...,Canada,Q16,2007-01-01T00:00:00Z,Q61817379,1
Liturgy,United States of America,Q30,1956-01-01T00:00:00Z,Q63871731,1
Literatura ludowa,NA,NA,1956-01-01T00:00:00Z,NA,NA
Literacy,England,Q21,1967-01-01T00:00:00Z,Q6647545,1
Litera,NA,NA,NA,NA,NA
Linguistics and Education,NA,NA,1988-01-01T00:00:00Z,NA,NA
Les Cahiers du numérique,France,Q142,2004-01-01T00:00:00Z,Q47009310,1
Leisure Sciences,United Kingdom,Q145,1977-01-01T00:00:00Z,Q15761935,1
"Law, Culture and the Humanities",United Kingdom,Q145,2005-01-01T00:00:00Z,Q6502892,1
La Lettre de l'Ocim,NA,NA,NA,NA,NA
L'Archicube,France,Q142,2006-07-01T00:00:00Z,Q41337010,1
Komparatistik online : komparatistische Internet-Zeitschrift,Germany,Q183,2006,Q108299944,1
Komparatistik Online,,,2006,,NA
Keystone Folklore,United States of America,Q30,1956-01-01T00:00:00Z,Q27715949,1
Kaleidoscope: A Graduate Journal of Qualitative Communication Research,,,2002-01-01T00:00:00Z,,1
Journal of the Philosophy of Games,Norway,Q20,2018-01-01T00:00:00Z,Q96725395,1
Journal of the Fantastic in the Arts,United States of America,Q30,1988-01-01T00:00:00Z,Q15755615,2
Journal of the Association for Consumer Research,United States of America,Q30,2016-05-01T00:00:00Z,Q53964400,1
Journal of graduate medical education,United States of America,Q30,2008-01-01T00:00:00Z,Q26842752,1
Journal of behavioral addictions,Hungary,Q28,2012-01-01T00:00:00Z,Q27020382,1
Journal of Virtual Reality and Broadcasting,Germany,Q183,2004-01-01T00:00:00Z,Q15763898,1
